track_id,spotify_id,title,track_artist,release_year,loudness,mode_name,decade
spotify:track:48Ej1CDmpsETlImicgiXWC,48Ej1CDmpsETlImicgiXWC,Luka,Suzanne Vega,1987,-8.263,major,1980
spotify:track:3PzsbWSQdLCKDLxn7YZfkM,3PzsbWSQdLCKDLxn7YZfkM,I'm On Fire,Bruce Springsteen,1984,-14.451,minor,1980
spotify:track:5bSASu4W0HJx6CuG8rbRcA,5bSASu4W0HJx6CuG8rbRcA,Reel Around the Fountain - 2011 Remaster,The Smiths,1984,-9.976,major,1980
spotify:track:2Q0HXXMkR28ZZkyX30UmLc,2Q0HXXMkR28ZZkyX30UmLc,All Cried Out (with Full Force),Lisa Lisa & Cult Jam,1985,-8.835,major,1980
spotify:track:6d950ki41uXbRI4aQKjjnp,6d950ki41uXbRI4aQKjjnp,Horizonte de las Estrellas,Miguel Bosé,1984,-10.302,minor,1980
spotify:track:7gSQv1OHpkIoAdUiRLdmI6,7gSQv1OHpkIoAdUiRLdmI6,I Won't Back Down,Tom Petty,1989,-13.487,major,1980
spotify:track:46ERhnELy62toOMlxe14a3,46ERhnELy62toOMlxe14a3,Wanted Dead Or Alive,Bon Jovi,1986,-11.46,major,1980
spotify:track:3OS4XXm4S42pnESQmtN9MG,3OS4XXm4S42pnESQmtN9MG,Well I Wonder - 2011 Remaster,The Smiths,1985,-10.843,minor,1980
spotify:track:6KqWBiEZxRmPPGDc0PkRoV,6KqWBiEZxRmPPGDc0PkRoV,Venus,Bananarama,1986,-4.812,major,1980
spotify:track:6w6I3AFRv7tQMmUTgAghUB,6w6I3AFRv7tQMmUTgAghUB,Just Another Day,Oingo Boingo,1985,-10.715,major,1980
spotify:track:4tYpYYoOI7WDxbCnPninwE,4tYpYYoOI7WDxbCnPninwE,Black Cat,Janet Jackson,1989,-7.253,minor,1980
spotify:track:1A2PWRltFrX8iB8IP3CUgo,1A2PWRltFrX8iB8IP3CUgo,St. Elmos Fire (Man in Motion),John Parr,1985,-10.945,major,1980
spotify:track:6Nq5N6GC5Ik5mteYWlpgKp,6Nq5N6GC5Ik5mteYWlpgKp,SHADOW CITY,Akira Terao,1981,-12.336,minor,1980
spotify:track:2V0u2rXv1bzTiwivScz9fM,2V0u2rXv1bzTiwivScz9fM,Fast Talk,Stephanie Mills,1989,-10.743,major,1980
spotify:track:6dLvocI8P9mckD2Op0m00W,6dLvocI8P9mckD2Op0m00W,Buttermilk Biscuits (Keep On Square Dancin'),Sir Mix-A-Lot,1988,-10.984,minor,1980
spotify:track:0XHWClSz0v6RIaRSGqJH3X,0XHWClSz0v6RIaRSGqJH3X,Smoke on the Water,Deep Purple,1980,-11.084,major,1980
spotify:track:5wTM2Bm8phDwHAuOsfBwhU,5wTM2Bm8phDwHAuOsfBwhU,2000 Miles - 2007 Remaster,Pretenders,1984,-9.051,major,1980
spotify:track:4pWHlV64Ni9epy7RrKjFus,4pWHlV64Ni9epy7RrKjFus,Birds Fly (Whisper to a Scream),The Icicle Works,1984,-13.064,major,1980
spotify:track:4f3RDq9nYPBeR1yMSgnmBm,4f3RDq9nYPBeR1yMSgnmBm,You've Got Another Thing Coming,Judas Priest,1982,-6.947,minor,1980
spotify:track:76HKOVWqsEg26SECtmw7Rz,76HKOVWqsEg26SECtmw7Rz,The Way You Make Me Feel - 2012 Remaster,Michael Jackson,1987,-4.523,major,1980
spotify:track:0CFIH3diqmPfa6FRXEILLF,0CFIH3diqmPfa6FRXEILLF,Something Good,Paul Haig,1989,-4.233,major,1980
spotify:track:1LDAh7QQnWvp3GJ9QDa1Pj,1LDAh7QQnWvp3GJ9QDa1Pj,Seek & Destroy,Metallica,1983,-6.189,major,1980
spotify:track:5ZIU2kT1wNjQNclQeVCz5O,5ZIU2kT1wNjQNclQeVCz5O,Modern Day Cowboy,Tesla,1986,-8.836,major,1980
spotify:track:1mqytV5qZcmzG6MgvJCpkQ,1mqytV5qZcmzG6MgvJCpkQ,Love My Way,The Psychedelic Furs,1988,-12.194,major,1980
spotify:track:23IK8TF2MSiLnuEjaYPfVV,23IK8TF2MSiLnuEjaYPfVV,Nightshift,Commodores,1985,-10.194,major,1980
spotify:track:0PP933bHgvV0eD19dG3ms5,0PP933bHgvV0eD19dG3ms5,Here I Go Again 87 - 2017 Remastered Version,Whitesnake,1987,-5.591,major,1980
